background,x,y,bio3,bio4,bio7,bio11,bio12
background,-1.5,10.000007823,64.6388778686523,1644.00061035156,180.583374023438,257.805541992188,1035.08276367188
background,-1.5,13.000007823,59.527759552002,2392.77905273438,229.888916015625,255.027770996094,643.221923828125
background,-1.5,22.000007823,45.4444427490234,6862.58642578125,354.000152587891,191.861068725586,22.444393157959
background,-1.5,25.000007823,40.9722213745117,7912.19677734375,384.611236572266,170.638824462891,7.41666030883789
background,-1.5,28.000007823,38.3055534362793,8619.8056640625,413.444519042969,137.722198486328,16.9445018768311
background,-1.5,31.000007823,36.9444465637207,8256.5263671875,389.611083984375,107.749946594238,93.7780532836914
background,-1.5,4.000007823,71.0000839233398,983.140930175781,98.5714492797852,247.428573608398,1579.29150390625
background,-1.5,52.000007823,35.5277633666992,4712.83251953125,205.47216796875,36.555549621582,726.611938476562
background,-1.5,61.000007823,32.600025177002,3230.79907226562,132.399963378906,29.6000843048096,1195.19897460938
background,-1.5,7.000007823,70.4166641235352,1123.52819824219,137.500061035156,248.888854980469,1348.58325195312
background,-10.5,10.000007823,62.9722099304199,1562.75109863281,236.499862670898,234.944442749023,1837.55541992188
background,-10.5,31.000007823,45.5000343322754,3695.58032226562,207.198974609375,122.800498962402,293.499328613281
background,-10.5,4.000007823,83.0000762939453,566.002380371094,115,246,3837.99047851562
background,-10.5,40.000007823,41.0000267028809,3420.48486328125,164.999237060547,110.5,739.499816894531
background,-10.5,43.000007823,40,3141,150,104,995
background,-10.5,52.000007823,40.7272796630859,3329.45092773438,154.090789794922,57.5456237792969,1314.7275390625
background,-100.5,16.000007823,77.9999618530273,801.858581542969,161.71435546875,254.713958740234,1290.85693359375
background,-100.5,22.000007823,62.6111221313477,2830.5009765625,247.000106811523,146.972213745117,636.164978027344
background,-100.5,31.000007823,41.5833282470703,7265.890625,350.638946533203,83.1666412353516,558.99951171875
background,-100.5,34.000007823,38.6111145019531,8305.416015625,385.694458007812,51.3332824707031,569.916442871094
background,-100.5,37.000007823,36.9444465637207,9212.083984375,418.888946533203,13.4721660614014,525.8330078125
background,-100.5,40.000007823,35.0000114440918,9781.8603515625,432.333312988281,-22.3889045715332,529.110900878906
background,-100.5,43.000007823,32.7777786254883,10417.8056640625,447.333343505859,-51.3611145019531,507.916412353516
background,-100.5,46.000007823,28.4999980926514,11644.638671875,474.027770996094,-96.7777938842773,433.333312988281
