x,y,GuloGulo_PA1_allRun logistic values
-1.5,10.000007823,0.004523126
-1.5,13.000007823,0.0055608093
-1.5,19.000007823,0.0
-1.5,22.000007823,0.0
-1.5,25.000007823,0.0
-1.5,28.000007823,0.0
-1.5,31.000007823,0.0
-1.5,37.000007823,0.011342807
-1.5,4.000007823,0.003549504
-1.5,49.000007823,0.009799059
-1.5,52.000007823,0.010224466
-1.5,58.000007823,0.009130031
-1.5,61.000007823,0.009244223
-1.5,7.000007823,0.0036704498
-10.5,10.000007823,0.0048316657
-10.5,13.000007823,0.0056031286
-10.5,19.000007823,0.0
-10.5,22.000007823,0.0
-10.5,25.000007823,0.0
-10.5,28.000007823,0.0
-10.5,31.000007823,0.005912169
-10.5,4.000007823,0.0023479213
-10.5,40.000007823,0.008380155
-10.5,43.000007823,0.008319589
-10.5,52.000007823,0.008306273
-10.5,7.000007823,0.003068537
-10.5,82.000007823,0.24954818
-100.5,16.000007823,0.00284978
-100.5,22.000007823,0.005330251
-100.5,31.000007823,0.014064548
-100.5,34.000007823,0.017618865
-100.5,37.000007823,0.021524094
-100.5,40.000007823,0.039470628
-100.5,43.000007823,0.045532905
-100.5,46.000007823,0.059881862
-100.5,52.000007823,0.6196804
-100.5,76.000007823,0.33901674
-103.5,19.000007823,0.0043260576
-103.5,22.000007823,0.005306994
-103.5,28.000007823,0.0072736554
-103.5,37.000007823,0.017850399
-103.5,43.000007823,0.0374083
-103.5,46.000007823,0.048564397
-103.5,49.000007823,0.15220387
-106.5,19.000007823,0.0038591519
-106.5,31.000007823,0.009140482
-106.5,34.000007823,0.010055843
-106.5,43.000007823,0.02505809
-106.5,79.000007823,0.0
-109.5,-25.999992177,0.005612176
-109.5,10.000007823,0.006255916
-109.5,19.000007823,0.0054733506
-109.5,25.000007823,0.005023565
-109.5,28.000007823,0.008324375
-109.5,31.000007823,0.011107
-109.5,34.000007823,0.01353277
-109.5,37.000007823,0.022802306
-109.5,43.000007823,0.024180317
-109.5,79.000007823,0.0
-112.5,25.000007823,0.0026200751
-112.5,28.000007823,0.0029288237
-112.5,37.000007823,0.012137282
-112.5,40.000007823,0.024472883
-112.5,52.000007823,0.08450533
-112.5,79.000007823,0.0
-115.5,28.000007823,0.0013483198
-115.5,49.000007823,0.027667942
-118.5,28.000007823,0.0010668092
-118.5,40.000007823,0.01156343
-121.5,37.000007823,0.008733571
-121.5,76.000007823,0.0
-124.5,40.000007823,0.007925446
-124.5,46.000007823,0.008616246
-13.5,-37.999992177,0.0071828393
-13.5,13.000007823,0.005730605
-13.5,22.000007823,0.0
-130.5,52.000007823,0.010053711
-133.5,52.000007823,0.010023977
-145.5,58.000007823,0.047185715
-154.5,19.000007823,0.0035102323
-157.5,22.000007823,0.003985294
-16.5,10.000007823,0.0043972256
-16.5,19.000007823,0.0
-16.5,22.000007823,0.0
-16.5,25.000007823,0.0
-16.5,28.000007823,0.0053882673
-16.5,34.000007823,0.0073102
-16.5,79.000007823,0.29718575
-16.5,82.000007823,0.31860507
-160.5,22.000007823,0.0041890717
-160.5,4.000007823,0.00184631
-166.5,52.000007823,0.010884708
-166.5,55.000007823,0.018034318
-169.5,-13.999992177,0.0028258744
-169.5,-4.999992177,0.0017726794
-169.5,52.000007823,0.010487006
-172.5,-19.999992177,0.0045715054
-172.5,52.000007823,0.010114175
-172.5,61.000007823,0.09590101
-175.5,-13.999992177,0.0024093955
-175.5,-22.999992177,0.0056710877
-175.5,-43.999992177,0.0075170347
-175.5,52.000007823,0.009865586
-178.5,-13.999992177,0.002785091
-178.5,-16.999992177,0.004127952
-178.5,28.000007823,0.008457999
-178.5,52.000007823,0.009908772
-19.5,64.000007823,0.016030375
-19.5,76.000007823,0.24186265
-19.5,82.000007823,0.33293304
-22.5,16.000007823,0.0022452597
-22.5,67.000007823,0.016832717
-22.5,76.000007823,0.2476099
-22.5,79.000007823,0.29351863
-25.5,16.000007823,0.004198841
-25.5,37.000007823,0.008278037
-25.5,70.000007823,0.16263402
-25.5,73.000007823,0.20184472
-28.5,37.000007823,0.008924919
-28.5,67.000007823,0.0347699
-28.5,70.000007823,0.16300437
-28.5,73.000007823,0.20098945
-28.5,79.000007823,0.3515859
-28.5,82.000007823,0.3149266
-31.5,67.000007823,0.035065103
-31.5,76.000007823,0.309752
-31.5,82.000007823,0.3028326
-34.5,-10.999992177,0.003781295
-34.5,-55.999992177,0.012174868
-34.5,-7.999992177,0.0036662624
-34.5,67.000007823,0.15096323
-34.5,70.000007823,0.23915568
-34.5,73.000007823,0.09588805
-34.5,76.000007823,0.111869
-34.5,79.000007823,0.34874254
-34.5,82.000007823,0.3020557
-37.5,-10.999992177,0.004104958
-37.5,-13.999992177,0.0042848387
-37.5,-16.999992177,0.004256465
-37.5,-55.999992177,0.011687707
-37.5,-7.999992177,0.0038254287
-37.5,70.000007823,0.2536724
-37.5,76.000007823,0.11489292
-4.5,13.000007823,0.0060297465
-4.5,25.000007823,0.0
-4.5,28.000007823,0.0
-4.5,31.000007823,0.00672275
-4.5,34.000007823,0.011708322
-4.5,40.000007823,0.013261244
