Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.65552E-5,0.001655519,0.000351409,0.991428571,0.002159827,0
1.67559E-5,0.003331104,0.000355667,0.988571429,0.002159827,0
1.71423E-5,0.005045332,0.000363867,0.985714286,0.002159827,0
1.7737E-5,0.010290514,0.000376487,0.977142857,0.002159827,0
2.22457E-5,0.025183583,0.000472143,0.957142857,0.002159827,0
3.05272E-5,0.051293482,0.000647795,0.928571429,0.002159827,0
6.0751E-5,0.105452899,0.001288325,0.891428571,0.002159827,0
7.92944E-5,0.206335233,0.001680906,0.851428571,0.002159827,0
8.0166E-5,0.302155249,0.001699352,0.817142857,0.002159827,0
8.07886E-5,0.406721449,0.001712527,0.78,0.002159827,0
8.17157E-5,0.50426212,0.001732145,0.745714286,0.002159827,0
8.2993E-5,0.602858536,0.001759173,0.711428571,0.002159827,0
8.51346E-5,0.703749098,0.001804485,0.677142857,0.002159827,0
8.6143E-5,0.755098189,0.001825819,0.66,0.002159827,0
8.70127E-5,0.807026386,0.001844219,0.642857143,0.002159827,0
8.9172E-5,0.903898056,0.001889899,0.611428571,0.002159827,0
9.3755E-5,1.004235717,0.001986837,0.58,0.002159827,0
9.77199E-5,1.100197651,0.002070686,0.551428571,0.002159827,0
1.00731E-4,1.208982256,0.002134347,0.52,0.002159827,0
1.04874E-4,1.301730886,0.002221954,0.494285714,0.004319654,0
1.09739E-4,1.400171252,0.002324771,0.465714286,0.004319654,0
1.1731E-4,1.511559699,0.002484781,0.44,0.006479482,0
1.38936E-4,1.750639479,0.002941494,0.385714286,0.008639309,0
1.66018E-4,2.007132719,0.003512835,0.337142857,0.010799136,0
2.1895E-4,2.256744308,0.004627674,0.3,0.032397408,0
3.03247E-4,2.511943401,0.006397949,0.271428571,0.045356371,0
3.35021E-4,2.773759966,0.007063592,0.248571429,0.047516199,0
3.73534E-4,3.021101195,0.007869209,0.228571429,0.049676026,0
5.16624E-4,3.258697588,0.010850961,0.211428571,0.060475162,0
7.14922E-4,3.546705522,0.014953633,0.2,0.069114471,0
8.53191E-4,3.793569036,0.017794286,0.191428571,0.073434125,0
9.83724E-4,4.079116333,0.020460985,0.182857143,0.075593952,0
1.26163E-3,4.329980079,0.026090571,0.177142857,0.07775378,0
1.28415E-3,4.586422018,0.026543921,0.171428571,0.07775378,0
1.3484E-3,4.849762346,0.02783491,0.165714286,0.07775378,0
1.46623E-3,5.137078462,0.030193887,0.16,0.082073434,0
1.52305E-3,5.28938334,0.03132727,0.157142857,0.084233261,0
1.55782E-3,5.59777607,0.032019499,0.151428571,0.084233261,0
1.60874E-3,5.758649922,0.033031585,0.148571429,0.084233261,0
1.70056E-3,6.091778074,0.034851154,0.142857143,0.084233261,0
1.71865E-3,6.263643102,0.035208901,0.14,0.086393089,0
1.97569E-3,6.648503785,0.040262677,0.134285714,0.09287257,0
2.03747E-3,6.852250725,0.04146949,0.131428571,0.09287257,0
2.10139E-3,7.062389228,0.042714825,0.128571429,0.09287257,0
2.66899E-3,7.272562695,0.053633701,0.125714286,0.105831533,0
2.95289E-3,7.645565087,0.059002188,0.122857143,0.107991361,0
2.96274E-3,7.941839359,0.059187331,0.12,0.107991361,0
2.98781E-3,8.077037542,0.059658157,0.117142857,0.107991361,0
3.07611E-3,8.386303148,0.061313145,0.114285714,0.110151188,0
3.14532E-3,8.558241702,0.062606351,0.114285714,0.112311015,0
3.16727E-3,8.874968334,0.063015672,0.111428571,0.112311015,0
3.17553E-3,9.192521309,0.063169695,0.108571429,0.112311015,0
3.2175E-3,9.273994038,0.063951159,0.105714286,0.112311015,0
3.34799E-3,9.52732034,0.066372688,0.105714286,0.118790497,0
3.61139E-3,9.88845957,0.071222622,0.102857143,0.123110151,0
3.89892E-3,10.278352038,0.076459663,0.1,0.127429806,0
3.90851E-3,10.669203402,0.076633296,0.097142857,0.127429806,0
3.94067E-3,11.063270078,0.077215037,0.094285714,0.127429806,0
4.03739E-3,11.256362502,0.078960575,0.091428571,0.129589633,0
4.21092E-3,11.899209031,0.082075948,0.088571429,0.133909287,0
4.38778E-3,12.337987519,0.085229357,0.085714286,0.136069114,0
4.61375E-3,12.512193527,0.089226923,0.082857143,0.140388769,0
5.04176E-3,12.842163421,0.096703878,0.082857143,0.146868251,0
5.35053E-3,13.14044882,0.102022005,0.08,0.149028078,0
5.56333E-3,13.346025385,0.105650923,0.08,0.151187905,0
5.71069E-3,13.527920039,0.108146853,0.077142857,0.153347732,0
5.92017E-3,13.825699608,0.111670765,0.077142857,0.161987041,0
