Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.23256E-5,0.001232557,0.001134492,0.994,0.001512859,0
1.32604E-5,0.003791157,0.001220433,0.99,0.001512859,0
1.34547E-5,0.005136624,0.001238291,0.988,0.001512859,0
1.59867E-5,0.011028816,0.001470977,0.98,0.001512859,0
1.89225E-5,0.025023228,0.001740644,0.964,0.001512859,0
2.6781E-5,0.052565945,0.002461754,0.94,0.001512859,0
3.55346E-5,0.100380185,0.003263767,0.91,0.001512859,0
5.40477E-5,0.201384302,0.004955722,0.864,0.001512859,0
6.60682E-5,0.300996187,0.006051238,0.832,0.001512859,0
7.92469E-5,0.405805547,0.007249532,0.804,0.001512859,0
8.59106E-5,0.505222159,0.007854342,0.78,0.001512859,0
9.26613E-5,0.603454852,0.008466294,0.758,0.001512859,0
1.00887E-4,0.700850571,0.009210966,0.738,0.001512859,0
1.03263E-4,0.751905289,0.009425832,0.728,0.001512859,0
1.06395E-4,0.804643697,0.009708966,0.718,0.001512859,0
1.19124E-4,0.90510214,0.010857887,0.7,0.001512859,0
1.25773E-4,1.003654644,0.011456993,0.684,0.001512859,0
1.32733E-4,1.10773068,0.012083292,0.668,0.001512859,0
1.36702E-4,1.201954454,0.012440122,0.654,0.001512859,0
1.42236E-4,1.300114988,0.012937247,0.64,0.001512859,0
1.49827E-4,1.402885071,0.013618324,0.626,0.001512859,0
1.52571E-4,1.50864647,0.013864283,0.612,0.001512859,0
1.7037E-4,1.766945252,0.01545664,0.58,0.001512859,0
1.84195E-4,2.017123018,0.016689973,0.552,0.001512859,0
1.94517E-4,2.26381287,0.017608804,0.526,0.001512859,0
2.1156E-4,2.506468771,0.019122103,0.502,0.001512859,0
2.29617E-4,2.752599254,0.020720438,0.48,0.001512859,0
2.39219E-4,3.011825776,0.021568215,0.458,0.001512859,0
2.53393E-4,3.258505545,0.022817016,0.438,0.001512859,0
2.69276E-4,3.52252825,0.024212574,0.418,0.003025719,0
2.95311E-4,3.772295877,0.026491491,0.4,0.003025719,0
3.21436E-4,4.022280003,0.028767708,0.384,0.003025719,0
3.47073E-4,4.289719468,0.030991077,0.368,0.004538578,0
3.7159E-4,4.507423924,0.033107786,0.356,0.006051437,0
3.85097E-4,4.771597264,0.034269989,0.342,0.007564297,0
3.98323E-4,5.007611436,0.035405245,0.33,0.007564297,0
4.1779E-4,5.252793379,0.03707146,0.318,0.007564297,0
4.35881E-4,5.510922956,0.038614765,0.306,0.007564297,0
4.47514E-4,5.776862306,0.039604444,0.294,0.007564297,0
4.72297E-4,6.007612484,0.04170631,0.284,0.010590015,0
5.03955E-4,6.256820445,0.044377772,0.274,0.012102874,0
5.12075E-4,6.511462998,0.045060583,0.264,0.012102874,0
5.80859E-4,6.785306018,0.050805787,0.254,0.018154312,0
6.27457E-4,7.00239873,0.054658795,0.246,0.019667171,0
6.99889E-4,7.266052427,0.060586193,0.238,0.02269289,0
7.91213E-4,7.537672433,0.067954467,0.232,0.039334342,0
8.12333E-4,7.78013431,0.069642062,0.226,0.045385779,0
8.32641E-4,8.027270158,0.071259078,0.22,0.051437216,0
8.8563E-4,8.286028253,0.075451785,0.214,0.060514372,0
9.7994E-4,8.570830279,0.082821124,0.208,0.060514372,0
9.8828E-4,8.768416631,0.083467157,0.204,0.060514372,0
1.06433E-3,9.086125565,0.089316238,0.198,0.060514372,0
1.08383E-3,9.301611625,0.090804614,0.194,0.060514372,0
1.12031E-3,9.524335913,0.093574439,0.19,0.060514372,0
1.12957E-3,9.862723147,0.094274991,0.184,0.060514372,0
1.18863E-3,10.095346677,0.098717856,0.18,0.060514372,0
1.44964E-3,10.314027812,0.11784072,0.176,0.066565809,0
1.48249E-3,10.533299599,0.120190268,0.174,0.069591528,0
1.51587E-3,10.83418115,0.122564683,0.17,0.069591528,0
1.90805E-3,11.024986036,0.149532278,0.168,0.071104387,0
2.03345E-3,11.253496421,0.157809129,0.164,0.078668684,0
2.15436E-3,11.655138306,0.165638423,0.162,0.089258699,0
2.16638E-3,11.87177601,0.16640832,0.16,0.089258699,0
2.39866E-3,12.101445827,0.181021207,0.158,0.089258699,0
2.41195E-3,12.353984451,0.18184155,0.156,0.092284418,0
2.4241E-3,12.596394134,0.182590186,0.154,0.092284418,0
