X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-91.5,82.000007823,train,0.13448938367108423,72.98957128848483,0.6354160110552147
-85.5,82.000007823,train,12671.365607929612,100.0,0.9999939102232027
-82.5,82.000007823,train,8.835732643313593E66,100.0,1.0
-76.5,82.000007823,train,3.410608662132901E67,100.0,1.0
-73.5,82.000007823,train,2.2457340263149273E67,100.0,1.0
-67.5,82.000007823,train,4.4101894888786794E66,100.0,1.0
-64.5,82.000007823,train,3.903651655992499E66,100.0,1.0
-61.5,82.000007823,train,6.755139728099753E-21,6.755329484545947E-19,8.754007109090146E-20
-88.5,79.000007823,train,8.719490754224411E66,100.0,1.0
-85.5,79.000007823,train,0.1346194639217468,73.00914323199011,0.6356399410548189
-79.5,79.000007823,train,3.7911661682058054E67,100.0,1.0
-76.5,79.000007823,train,2.4282700450596102E67,100.0,1.0
-73.5,79.000007823,train,6.095540845440485E66,100.0,1.0
-70.5,79.000007823,train,3.972526565034162E-24,3.9726381559935995E-22,5.1480098400778756E-23
-118.5,76.000007823,train,0.057451859436279666,44.59301609756628,0.42677657694021726
-82.5,76.000007823,train,2.2992897567594464E67,100.0,1.0
91.5,76.000007823,train,4.812301210340591E48,100.0,1.0
94.5,76.000007823,train,1.6635727030387783E64,100.0,1.0
97.5,76.000007823,train,2.5028023747746335E64,100.0,1.0
100.5,76.000007823,train,1.6997718029692734E64,100.0,1.0
103.5,76.000007823,train,8.236903665463344E84,100.0,1.0
106.5,76.000007823,train,2.252200079799307E67,100.0,1.0
109.5,76.000007823,train,2.4118305139583067E89,100.0,1.0
112.5,76.000007823,train,1.8930603973659193E72,100.0,1.0
-124.5,73.000007823,train,2.3904409826532745E-22,2.390508131758099E-20,3.097780090167542E-21
-121.5,73.000007823,train,2.044977441752443E49,100.0,1.0
-118.5,73.000007823,train,2.9062610065293375E49,100.0,1.0
-115.5,73.000007823,train,3.3380407454947546E49,100.0,1.0
-112.5,73.000007823,train,0.021499539189320634,13.866929044517946,0.2179026548161211
-106.5,73.000007823,train,0.025656828913407034,18.436781763310197,0.24952400900654464
-85.5,73.000007823,train,9.142331441117294E46,100.0,1.0
-82.5,73.000007823,train,1.345034098122607E50,100.0,1.0
-76.5,73.000007823,train,6.920009127871788E66,100.0,1.0
-73.5,73.000007823,train,2.622435692002499E31,100.0,1.0
67.5,73.000007823,train,0.038503544640427004,26.5519782712258,0.33287464573295067
79.5,73.000007823,train,7.390436503186112E-18,7.390644105548627E-16,9.577290225256342E-17
82.5,73.000007823,train,1.0588684368342964E-17,1.0588981811652279E-15,1.372190982975581E-16
85.5,73.000007823,train,1.0179822187293306E70,100.0,1.0
88.5,73.000007823,train,2.124482760763475E70,100.0,1.0
91.5,73.000007823,train,2.9900932521069654E70,100.0,1.0
94.5,73.000007823,train,1.101385113721513E91,100.0,1.0
97.5,73.000007823,train,6.772756941293731E72,100.0,1.0
100.5,73.000007823,train,6.948170503540937E72,100.0,1.0
103.5,73.000007823,train,7.109218925870814E72,100.0,1.0
106.5,73.000007823,train,7.292283720506926E72,100.0,1.0
109.5,73.000007823,train,1.797100599684517E72,100.0,1.0
