background,x,y,bio3,bio4,bio7,bio11,bio12
background,-1.5,40.000007823,37.6666679382324,6145.61474609375,283.83349609375,51.1665077209473,472.083343505859
background,-10.5,16.000007823,53.4166679382324,3456.86254882812,265.583343505859,238.805541992188,334.8603515625
background,-100.5,28.000007823,43.527774810791,6331.88916015625,314.138916015625,128.361083984375,464.638641357422
background,-100.5,49.000007823,25.8611087799072,12475.8056640625,488.749969482422,-138.916687011719,439.638885498047
background,-103.5,49.000007823,27.5277729034424,11937.1943359375,479.972229003906,-124.88890838623,389.527679443359
background,-103.5,76.000007823,13.8666639328003,14129.93359375,452.199981689453,-344.733306884766,79.4666213989258
background,-106.5,34.000007823,46.0277786254883,7413.11279296875,376.750091552734,19.5832691192627,337.361053466797
background,-115.5,52.000007823,32.3888854980469,8799.3046875,392.333282470703,-111.05558013916,580.944641113281
background,-115.5,79.000007823,11.6666669845581,14457.3330078125,453.333343505859,-359.333312988281,74
background,-124.5,43.000007823,48.7058982849121,4490.2890625,246.058563232422,48.705997467041,1449.35559082031
background,-13.5,13.000007823,57.9444427490234,2189.7216796875,233.222259521484,249.472183227539,1115.58203125
background,-13.5,7.000007823,71.1666946411133,884.000122070312,105.999801635742,250.999877929688,3364.83227539062
background,-130.5,52.000007823,31.4285678863525,4041.71508789062,168.571472167969,27.1428337097168,2588.00073242188
background,-154.5,19.000007823,71.6666641235352,1102.33349609375,120.666648864746,171.000045776367,1848.83422851562
background,-157.5,1.000007823,89,188.999694824219,74,274.999969482422,731.000549316406
background,-16.5,82.000007823,16.9999866485596,12152.0029296875,393.250091552734,-277.250122070312,167.812561035156
background,-160.5,-19.999992177,61,1287,90,230.5,2146.5
background,-169.5,-19.999992177,61,1270,93,229,2068.99975585938
background,-172.5,-13.999992177,83.5,383.500213623047,65.5000076293945,254.999938964844,3146.50659179688
background,-172.5,-19.999992177,62.5,1227.5,93.5,233,2193.5
background,-175.5,52.000007823,29.9999980926514,3533.75,152.5,1.74996328353882,1450.5
background,-19.5,67.000007823,33.2499923706055,4334.49951171875,178.124954223633,-32.9999580383301,792.249633789062
background,-19.5,73.000007823,21.2856998443604,9038.5732421875,316.857208251953,-211.000198364258,287.429077148438
background,-28.5,-19.999992177,17,1704.99951171875,58,221.999862670898,749.000610351562
background,-28.5,70.000007823,24.388879776001,6949.529296875,254.722259521484,-213.694641113281,1024.13977050781
background,-28.5,82.000007823,17.1944446563721,11963.0546875,394.638885498047,-322.222229003906,205.666717529297
background,-34.5,-55.999992177,44.0000457763672,2517.99877929688,134.000045776367,-20.0005416870117,1561.00158691406
background,-34.5,-7.999992177,70.2500305175781,1142.28295898438,114.781410217285,225.562301635742,1380.77429199219
background,-37.5,-4.999992177,78.0000076293945,780.798706054688,122.599998474121,254.999938964844,789.800964355469
background,-37.5,-7.999992177,69.5000152587891,1482.30493164062,137.638931274414,212.472305297852,682.138916015625
background,-4.5,19.000007823,49.5277709960938,5883.333984375,344.666625976562,203.361114501953,53.2499084472656
background,-4.5,34.000007823,41.0833549499512,5930.4677734375,307.610992431641,83.7502136230469,491.111907958984
background,-4.5,46.000007823,37,4110.99951171875,177.999954223633,64,949.999938964844
background,-40.5,-13.999992177,67.8055725097656,1329.00024414062,133.83349609375,202.499816894531,909.886108398438
background,-43.5,-16.999992177,68.5277862548828,1697.166015625,184.722274780273,191.916809082031,1076.86059570312
background,-43.5,73.000007823,11.6388893127441,9929.97265625,329.861114501953,-316.666656494141,988.666259765625
background,-46.5,67.000007823,17.7222328186035,8570.3349609375,296.500061035156,-214.749923706055,956.748718261719
background,-46.5,70.000007823,15.1666631698608,9335.611328125,318.527801513672,-254.027725219727,805.471435546875
background,-49.5,-31.999992177,44.0000114440918,3450.16650390625,181.666748046875,142.500030517578,1418.50036621094
background,-49.5,73.000007823,11.8611125946045,9906.388671875,332.972229003906,-285.638854980469,638.888549804688
background,-49.5,82.000007823,14.346152305603,11733.5,387.884613037109,-307.576904296875,205.846038818359
background,-52.5,76.000007823,10.8333339691162,10549.638671875,349.5,-304.388854980469,489.166473388672
background,-52.5,82.000007823,13.6818208694458,11860.318359375,390.363647460938,-310.363616943359,207.681716918945
background,-55.5,4.000007823,77.3888778686523,645.472839355469,113.916664123535,253.77783203125,2331.05493164062
background,-58.5,-13.999992177,70.9166564941406,1073.05432128906,188.361145019531,220.527755737305,1807.38952636719
background,-58.5,-52.999992177,51.2499847412109,2567.50146484375,136.000061035156,22.6251182556152,567.62451171875
background,-61.5,-40.999992177,46.7142791748047,4968.57666015625,263.143127441406,76.4286117553711,380.142791748047
background,-64.5,-22.999992177,55.8889236450195,3920.61059570312,266.694549560547,117.305282592773,645.859802246094
background,-64.5,-25.999992177,51.7777824401855,4312.275390625,266.083190917969,131.805389404297,603.276977539062
background,-67.5,-19.999992177,65.5000228881836,3155.74853515625,261.888824462891,26.9444732666016,174.166793823242
background,-67.5,-55.999992177,51.5293960571289,2753.08935546875,150.852966308594,7.38241481781006,668.204711914062
background,-70.5,-52.999992177,48.1666526794434,3080.16943359375,162.111267089844,15.6388883590698,539.249572753906
background,-73.5,-34.999992177,52.500072479248,3546.7373046875,216.249481201172,85.0002822875977,928.747436523438
background,-73.5,-52.999992177,47.0666694641113,2616.3994140625,139.866638183594,22.7999324798584,2246.50244140625
background,-73.5,22.000007823,56.6666374206543,1821.16711425781,122.000022888184,236,793.500061035156
background,-76.5,19.000007823,67.7777786254883,1326.11120605469,132.611129760742,229.611145019531,1414.27612304688
background,-76.5,25.000007823,49.0937423706055,2396.93798828125,139.218765258789,218.187484741211,1058.68811035156
background,-79.5,-10.999992177,62,1904.00048828125,142.999969482422,169.000030517578,13.9998722076416
background,-79.5,46.000007823,25.5277767181396,10666.861328125,419.694458007812,-102.861122131348,924.916625976562
background,-79.5,67.000007823,15.5,12661.5,421.500030517578,-281.000030517578,187.499954223633
background,-85.5,49.000007823,25.6944408416748,11410.0009765625,459.25,-147.722244262695,821.166625976562
background,-88.5,43.000007823,26.5,10203.8076171875,402.0556640625,-58.8889656066895,845.9443359375
background,-91.5,49.000007823,24.4999923706055,12136.6689453125,479.972259521484,-150.972259521484,725.166564941406
background,-91.5,61.000007823,16,14873.3349609375,507.333374023438,-297.000030517578,297.333374023438
background,-91.5,76.000007823,13.8846158981323,14145.5380859375,453.576904296875,-334.076934814453,121.038459777832
background,-94.5,34.000007823,36.6944389343262,7859.140625,354.972290039062,60.444408416748,1222.52734375
background,-94.5,37.000007823,32.9166603088379,8897.751953125,385.02783203125,18.2221755981445,1082.13854980469
background,-94.5,40.000007823,29.25,10130.4453125,413.750030517578,-27.3055934906006,924.138488769531
background,-94.5,46.000007823,25.4444427490234,11952.4462890625,471.722259521484,-113.666709899902,681.944213867188
background,-94.5,76.000007823,14.5161285400391,13793.7578125,448.225799560547,-331.306457519531,122.387115478516
background,-97.5,25.000007823,45.3333358764648,4882.62255859375,258.23828125,165.238021850586,695.570922851562
background,-97.5,28.000007823,40.0666809082031,5977.93603515625,288.500183105469,132.7666015625,769.299560546875
background,-97.5,31.000007823,38.4166641235352,7140.05712890625,335.083404541016,93.6943893432617,864.193969726562
background,-97.5,73.000007823,14.9615392684937,14178.0771484375,464.346160888672,-332.423095703125,114.730735778809
background,-97.5,76.000007823,14.619044303894,13919.9052734375,452.666687011719,-337.190490722656,112.904724121094
background,10.5,1.000007823,74.9687347412109,850.655639648438,114.406127929688,230.218780517578,2121.25415039062
background,10.5,28.000007823,42.6944465637207,7554.94677734375,370.500122070312,117.555549621582,20.1667175292969
background,10.5,49.000007823,31.88889503479,6615.60986328125,268.055480957031,-4.80549764633179,783.111145019531
background,10.5,55.000007823,26.3823776245117,6005.5576171875,230.823501586914,5.35295438766479,678.236145019531
background,100.5,13.000007823,59.5185089111328,1399.88842773438,152.185256958008,249.185073852539,1453.70751953125
background,100.5,16.000007823,54.4722099304199,1976.47106933594,202.083389282227,237.694351196289,1200.47387695312
background,100.5,22.000007823,52.4722023010254,3299.00170898438,229.277984619141,150.94465637207,1485.99780273438
background,100.5,4.000007823,86.6666488647461,379.333068847656,109.714286804199,253.333297729492,2477.09106445312
background,103.5,13.000007823,59.428581237793,1418.45690917969,156.828628540039,247.514266967773,1660.60363769531
background,103.5,28.000007823,36.5278396606445,5672.80078125,257.888977050781,51.7501678466797,1032.27709960938
background,106.5,22.000007823,36.3889274597168,4848.46923828125,208.666656494141,150.666656494141,1655.10925292969
background,109.5,16.000007823,52.1667327880859,2419.66259765625,155.6669921875,209.8330078125,2067.67065429688
background,109.5,28.000007823,26.36110496521,7703.580078125,298.1943359375,54.6111183166504,1332.35998535156
background,109.5,31.000007823,26.0833301544189,7549.77490234375,295.722137451172,31.3333854675293,1255.30603027344
background,112.5,-1.999992177,87.5714492797852,363.799530029297,94.485710144043,256.400054931641,2858.4580078125
background,112.5,34.000007823,29.4722270965576,9277.4716796875,366.916717529297,9.58325290679932,717.527221679688
background,118.5,-19.999992177,52.6666984558105,4599.39404296875,269.266357421875,203.466644287109,320.133087158203
background,118.5,-7.999992177,77.0000076293945,618.032836914062,129.366561889648,238.065963745117,1698.82189941406
background,118.5,28.000007823,27.5000057220459,7365.22900390625,293.750305175781,67.7778701782227,1811.44372558594
background,118.5,31.000007823,24.0555667877197,8759.1943359375,326.194458007812,42.1388702392578,1273.13842773438
background,121.5,16.000007823,66.1346130371094,1174.22912597656,130.096221923828,234.538787841797,2671.74780273438
background,124.5,-13.999992177,58.375057220459,1940.49328613281,154.624633789062,244.750335693359,1278.87219238281
background,124.5,13.000007823,74.1841812133789,876.685791015625,102.500015258789,253.210678100586,2740.27880859375
background,124.5,37.000007823,21.6666393280029,9423.8232421875,345.166076660156,-16.6666164398193,913.329345703125
background,13.5,-10.999992177,60.9472503662109,1838.90063476562,145.105102539062,206.526428222656,787.523193359375
background,13.5,31.000007823,43.7221984863281,6264.0029296875,320.333435058594,114.499893188477,95.6390533447266
background,13.5,79.000007823,18.0384674072266,6702.57421875,231.692199707031,-148.615325927734,394.692687988281
background,130.5,-13.999992177,58.1071624755859,2595.24438476562,220.928192138672,234.250152587891,1151.42980957031
background,130.5,31.000007823,29.187479019165,6540.7509765625,265.968627929688,87.6872329711914,2600.3427734375
background,133.5,4.000007823,89,314,82,269,2877
background,136.5,-25.999992177,46.6666679382324,6237.69384765625,328.583343505859,140.805526733398,149.527801513672
background,142.5,-10.999992177,64.6818161010742,1203.40795898438,115.590950012207,245.500061035156,1738.04455566406
background,142.5,-7.999992177,75.6285781860352,836.341918945312,109.571411132812,248.6572265625,2740.02490234375
background,145.5,-43.999992177,48.8750267028809,2646.24829101562,151.125030517578,66.500244140625,1670.01098632812
background,148.5,-1.999992177,89.9999847412109,201.200057983398,79.800048828125,265.200164794922,3439.80078125
background,148.5,-19.999992177,51.8333511352539,3455.64135742188,209.583572387695,178.583236694336,1085.939453125
background,148.5,-37.999992177,48.6000022888184,3899.46337890625,218.900756835938,72.3993911743164,914.451843261719
background,148.5,7.000007823,88,142,70,273,3281
background,148.5,76.000007823,17.7692394256592,14073.9189453125,461.615234375,-323.923004150391,113.538505554199
background,151.5,-31.999992177,49.1969528198242,4503.5732421875,247.303680419922,99.2269287109375,988.783264160156
background,154.5,-1.999992177,88,222,70,269,3254
background,16.5,25.000007823,45.4444274902344,6589.11279296875,343.305603027344,131.444427490234,2.94446206092834
background,16.5,49.000007823,30.694450378418,7127.80419921875,289.388824462891,-14.5833597183228,668.333618164062
background,16.5,76.000007823,18.4999923706055,6407.001953125,225.600067138672,-129.900131225586,337.800445556641
background,169.5,-19.999992177,56.3333320617676,1780.33264160156,122.666664123535,205.666610717773,1707.33508300781
background,172.5,7.000007823,92,129.5,54.5,272.5,3264.50146484375
background,178.5,61.000007823,18,10062.6708984375,348.000122070312,-167.999618530273,504.33154296875
background,19.5,-1.999992177,85.8333053588867,456.167297363281,107.888870239258,246.388916015625,1883.66613769531
background,19.5,-10.999992177,65.8611297607422,1361.35852050781,221.722122192383,188.333389282227,1333.19470214844
background,19.5,10.000007823,62.2222175598145,1932.05700683594,235.388900756836,257.611145019531,937.082702636719
background,19.5,31.000007823,48.571418762207,5049.14013671875,274.809387207031,131.142852783203,139.381240844727
background,22.5,-16.999992177,56.6111145019531,3189.21997070312,275.444396972656,171.611114501953,692.278381347656
background,22.5,-31.999992177,52.3888816833496,4907.11669921875,300.250274658203,91.6110382080078,250.388107299805
background,22.5,-7.999992177,74.8611297607422,496.610107421875,171.55549621582,226.666748046875,1504.47253417969
background,22.5,4.000007823,76.7777557373047,596.389770507812,147.583450317383,240.583312988281,1677.97180175781
background,22.5,7.000007823,65.0277633666992,1159.4736328125,210.916748046875,233.527786254883,1390.33239746094
background,25.5,-22.999992177,56.0000076293945,4254.33203125,280.277770996094,139.972274780273,412.860595703125
background,25.5,-34.999992177,56.8889122009277,2503.56787109375,175.33415222168,139.443969726562,615.668151855469
background,25.5,19.000007823,53.305549621582,4941.5,309.833312988281,178.861053466797,24.1666145324707
background,25.5,37.000007823,30.7352809906006,5433.41357421875,217.000015258789,110.529281616211,537.293762207031
background,25.5,7.000007823,69.6666488647461,1053.55639648438,198.416839599609,240.55549621582,1351.19421386719
background,28.5,52.000007823,24.8611106872559,8889.7763671875,332.277740478516,-48.305549621582,627.611145019531
background,28.5,58.000007823,22.527774810791,8906.2490234375,327.388793945312,-68.3610916137695,639.944396972656
background,28.5,79.000007823,21.9999866485596,5775.6005859375,210.200012207031,-115.199974060059,350.399932861328
background,31.5,13.000007823,59.9999923706055,2458.3359375,236.388916015625,242.333251953125,374.110717773438
background,31.5,19.000007823,52.666675567627,5369.80859375,316.083435058594,202.972137451172,21.1665954589844
background,31.5,22.000007823,48.805549621582,6009.94677734375,315.444580078125,172.444381713867,1.47221434116364
background,31.5,25.000007823,49.0277671813965,6280.72216796875,337.305572509766,148.777770996094,0.305554986000061
background,31.5,37.000007823,36.4106979370117,6942.19873046875,306.517944335938,36.9818229675293,665.4814453125
background,31.5,58.000007823,23.5833263397217,9236.2763671875,346.222137451172,-78.0277328491211,628.666564941406
background,34.5,-1.999992177,78.0278167724609,784.996765136719,148.472106933594,193.555740356445,1003.64154052734
background,34.5,1.000007823,83.8888549804688,696.14013671875,161.194259643555,206.111022949219,1156.16857910156
background,37.5,4.000007823,78,1060.94213867188,167.666488647461,231.916778564453,431.500061035156
background,37.5,58.000007823,21.8611125946045,9982.775390625,372.055511474609,-94.1110763549805,604.8056640625
background,4.5,13.000007823,57.0555534362793,2644.39013671875,238.861129760742,252.222259521484,619.804443359375
background,4.5,25.000007823,42.8055458068848,7142.05810546875,352.888946533203,141.694564819336,23.3054981231689
background,4.5,31.000007823,37.8888854980469,8385.6669921875,392.472198486328,118.194389343262,37.2500534057617
background,4.5,34.000007823,37.3333396911621,7503.2451171875,351.999816894531,93.4720840454102,152.111572265625
background,4.5,4.000007823,74.5000228881836,903.999572753906,101.499900817871,253.999984741211,3213.0029296875
background,4.5,49.000007823,35.0555610656738,5772.5263671875,242.722183227539,21.1945095062256,775.915893554688
background,40.5,-4.999992177,66.3000030517578,1372.55151367188,129.900192260742,243.099884033203,1253.50073242188
background,40.5,10.000007823,67.1111373901367,1817.63671875,203.77783203125,193.805435180664,721.918151855469
background,40.5,13.000007823,63.914379119873,2155.33642578125,204.714401245117,221.942672729492,406.659576416016
background,40.5,25.000007823,47.3333396911621,6664.55224609375,331.360992431641,151.972152709961,92.8610382080078
background,40.5,28.000007823,41.0833320617676,7561.83251953125,345.277740478516,111.444427490234,106.249664306641
background,43.5,-1.999992177,67.0000991821289,1013.00421142578,98.0003356933594,256.000091552734,406.999847412109
background,43.5,-22.999992177,64.5999755859375,2690.9990234375,219.949737548828,201.700149536133,612.798278808594
background,43.5,52.000007823,21.8055572509766,11325.498046875,404.027709960938,-92.2777252197266,502.833465576172
background,46.5,13.000007823,56.0000267028809,2842.736328125,195.353103637695,198.617553710938,93.1182022094727
background,46.5,22.000007823,43.3055610656738,6880.890625,326.194549560547,168.638809204102,64.5278854370117
background,46.5,25.000007823,41.5833396911621,7354.41845703125,343.472320556641,147.166610717773,130.361450195312
background,46.5,82.000007823,22,7503.49853515625,277.249969482422,-185.749969482422,247.750030517578
background,49.5,-13.999992177,68.6481781005859,1664.47937011719,147.740875244141,211.53694152832,1736.2939453125
background,49.5,37.000007823,34.0294303894043,7808.6796875,342.147277832031,27.6173114776611,622.351013183594
background,49.5,40.000007823,25.6000213623047,8003.234375,316.533660888672,33.8997573852539,410.733215332031
background,49.5,55.000007823,19.8333320617676,11786.859375,416.999938964844,-115.305534362793,540.47216796875
background,52.5,-10.999992177,66.9999694824219,1108.99743652344,87.0000686645508,247.000030517578,1185.99975585938
background,52.5,13.000007823,59.5000495910645,1687.75085449219,143.250091552734,244.499618530273,63.750129699707
background,52.5,28.000007823,38.5356750488281,6943.60693359375,313.892669677734,123.357429504395,207.535614013672
background,52.5,52.000007823,22.0555553436279,12763.470703125,458.083282470703,-119.333305358887,407.583648681641
background,52.5,55.000007823,20.7499961853027,12003.1650390625,431.444366455078,-124.249946594238,552.888854980469
background,52.5,79.000007823,21.8333320617676,8416.1650390625,305.249969482422,-212.833404541016,248.666915893555
background,52.5,82.000007823,21.000036239624,8278.9990234375,301.499969482422,-212.500213623047,244.500686645508
background,55.5,37.000007823,34.9722099304199,8568.2470703125,360.583099365234,42.0556373596191,221.250183105469
background,58.5,28.000007823,39.1388702392578,6959.666015625,322.638793945312,132.583297729492,113.500114440918
background,61.5,40.000007823,31.1388721466064,10324.0859375,426.361145019531,11.999942779541,123.027717590332
background,61.5,76.000007823,20,10094.625,362.562561035156,-238.875091552734,295.875366210938
background,67.5,46.000007823,25.0833225250244,12807.779296875,478.416656494141,-90.4167022705078,154.138900756836
background,7.5,7.000007823,68.6111068725586,1233.83435058594,143.500015258789,252.444381713867,1611.44262695312
background,76.5,16.000007823,53.8611221313477,2427.60864257812,211.055541992188,236.305511474609,667.973388671875
background,76.5,40.000007823,27.4999771118164,10858.27734375,435.944396972656,-104.417091369629,149.806381225586
background,76.5,7.000007823,64,1155.99560546875,106.999809265137,260.999755859375,1012.01263427734
background,79.5,16.000007823,47.3529586791992,3086.67749023438,220.162002563477,238.941177368164,790.734191894531
background,79.5,31.000007823,38.0833129882812,6413.9423828125,297.444305419922,-42.5274085998535,885.419311523438
background,82.5,43.000007823,25.6111259460449,11710.1318359375,444.944396972656,-148.972091674805,267.778533935547
background,82.5,46.000007823,24.8055591583252,12715.1357421875,478.472198486328,-140.861068725586,314.361694335938
background,85.5,43.000007823,24.9999694824219,11611.9775390625,430.166687011719,-143.222610473633,207.389236450195
background,88.5,22.000007823,41.416675567627,3787.12915039062,226.083602905273,205.208343505859,1600.41247558594
background,91.5,13.000007823,59.9999618530273,696.000427246094,92.9998931884766,258.25,2961.99365234375
background,94.5,13.000007823,58,740.66552734375,89.3334197998047,259.833282470703,2630.17504882812
background,94.5,16.000007823,52.1538429260254,1504.92333984375,163.922927856445,245.692306518555,2654.08422851562
background,94.5,19.000007823,47.1379280090332,2511.7587890625,218.62043762207,221.862106323242,2319.01733398438
background,94.5,25.000007823,47.1111183166504,3791.66650390625,222.444320678711,157.416610717773,1979.6376953125
background,97.5,34.000007823,38.4444351196289,7732.5849609375,360.861145019531,-132.222244262695,424.749603271484
background,97.5,46.000007823,30.1388683319092,12214.8642578125,485.194488525391,-178.055450439453,132.666580200195
