X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-91.5,82.000007823,train,0.12140978201490232,72.43609673511236,0.6157638919763768
-88.5,82.000007823,train,0.707165635418927,100.0,0.9032352124358426
-85.5,82.000007823,train,5.553091092011464E8,100.0,0.9999999998635722
-82.5,82.000007823,train,2.3578248745781013E67,100.0,1.0
-79.5,82.000007823,train,2.0711037843638682E68,100.0,1.0
-76.5,82.000007823,train,1.0803785841777584E68,100.0,1.0
-73.5,82.000007823,train,5.275653837450208E67,100.0,1.0
-70.5,82.000007823,train,2.5213873095039956E67,100.0,1.0
-67.5,82.000007823,train,4.7302640757077335E66,100.0,1.0
-64.5,82.000007823,train,5.008809951223135E66,100.0,1.0
-61.5,82.000007823,train,1.255647282224823E-29,1.383557139799265E-27,1.657410269831116E-28
-88.5,79.000007823,train,0.11379100829322977,71.35811791056483,0.6003199528076075
-85.5,79.000007823,train,0.12196452383941998,72.5145528764714,0.6168419184838788
-82.5,79.000007823,train,0.09671434545233865,68.94187768421962,0.560747589275078
-79.5,79.000007823,train,1.4205183168062197E68,100.0,1.0
-76.5,79.000007823,train,7.005566090934882E67,100.0,1.0
-73.5,79.000007823,train,1.355409063986559E67,100.0,1.0
-70.5,79.000007823,train,6.189230293449241E-30,6.819712735881484E-28,8.16956640286497E-29
-118.5,76.000007823,train,0.030914300395310797,21.108876749688243,0.28980193073387933
-115.5,76.000007823,train,0.03244808306382697,21.748168842556208,0.2998685870465068
-112.5,76.000007823,train,0.0337274537217223,22.301820122944083,0.3080497154040697
-109.5,76.000007823,train,0.01585328835661985,15.23296869412193,0.1730464978719959
-106.5,76.000007823,train,0.01218166359272453,11.045148204362842,0.13852046243537022
-88.5,76.000007823,train,4.3358962316738645E66,100.0,1.0
-85.5,76.000007823,train,4.5842242428388876E67,100.0,1.0
-82.5,76.000007823,train,8.928410562724702E67,100.0,1.0
-79.5,76.000007823,train,4.4863539476134026E67,100.0,1.0
88.5,76.000007823,train,5.050109502335195E66,100.0,1.0
91.5,76.000007823,train,9.963289145613875E66,100.0,1.0
94.5,76.000007823,train,1.698105896638008E68,100.0,1.0
97.5,76.000007823,train,2.443446518654364E68,100.0,1.0
100.5,76.000007823,train,1.7819016401654784E68,100.0,1.0
103.5,76.000007823,train,8.83027481292635E69,100.0,1.0
106.5,76.000007823,train,1.5912542174326855E68,100.0,1.0
109.5,76.000007823,train,5.7069132676864894E104,100.0,1.0
112.5,76.000007823,train,9.83976173045342E77,100.0,1.0
-124.5,73.000007823,train,1.2103355658826882E-29,1.3336296246847976E-27,1.5976003972082387E-28
-121.5,73.000007823,train,2.639640246457647E39,100.0,1.0
-118.5,73.000007823,train,4.9650232363475085E39,100.0,1.0
-115.5,73.000007823,train,6.199377943020858E39,100.0,1.0
-112.5,73.000007823,train,0.007658088360799762,5.751561419640652,0.09180413785840778
