background,x,y,bio3,bio4,bio7,bio11,bio12
background,-1.5,10.000007823,64.6388778686523,1644.00061035156,180.583374023438,257.805541992188,1035.08276367188
background,-1.5,13.000007823,59.527759552002,2392.77905273438,229.888916015625,255.027770996094,643.221923828125
background,-1.5,16.000007823,54.9999885559082,3481.0576171875,264.361206054688,240.333267211914,263.249816894531
background,-1.5,19.000007823,50.4166526794434,5342.64453125,321.472473144531,211.777694702148,70.6387100219727
background,-1.5,22.000007823,45.4444427490234,6862.58642578125,354.000152587891,191.861068725586,22.444393157959
background,-1.5,25.000007823,40.9722213745117,7912.19677734375,384.611236572266,170.638824462891,7.41666030883789
background,-1.5,28.000007823,38.3055534362793,8619.8056640625,413.444519042969,137.722198486328,16.9445018768311
background,-1.5,31.000007823,36.9444465637207,8256.5263671875,389.611083984375,107.749946594238,93.7780532836914
background,-1.5,34.000007823,38.7428855895996,6439.2783203125,306.685485839844,78.7429351806641,310.228942871094
background,-1.5,37.000007823,38.1111068725586,5641.39599609375,268.222564697266,91.0552444458008,380.834411621094
background,-1.5,4.000007823,71.0000839233398,983.140930175781,98.5714492797852,247.428573608398,1579.29150390625
background,-1.5,40.000007823,37.6666679382324,6145.61474609375,283.83349609375,51.1665077209473,472.083343505859
background,-1.5,43.000007823,38.9333381652832,5389.33056640625,250.966506958008,47.7667045593262,862.001159667969
background,-1.5,46.000007823,38.0869445800781,5015.1708984375,220.608505249023,56.0870361328125,842.434875488281
background,-1.5,49.000007823,37.2307586669922,4584.03564453125,198.519058227539,52.3269577026367,780.269775390625
background,-1.5,52.000007823,35.5277633666992,4712.83251953125,205.47216796875,36.555549621582,726.611938476562
background,-1.5,55.000007823,36.5217399597168,4431.1748046875,192.782623291016,27.6955413818359,859.262817382812
background,-1.5,58.000007823,37.6000213623047,3851.45068359375,173.300048828125,31.0999279022217,848.949890136719
background,-1.5,61.000007823,32.600025177002,3230.79907226562,132.399963378906,29.6000843048096,1195.19897460938
background,-1.5,7.000007823,70.4166641235352,1123.52819824219,137.500061035156,248.888854980469,1348.58325195312
background,-10.5,10.000007823,62.9722099304199,1562.75109863281,236.499862670898,234.944442749023,1837.55541992188
background,-10.5,13.000007823,58.9444389343262,2246.58325195312,232.361038208008,250.388885498047,1026.66613769531
background,-10.5,16.000007823,53.4166679382324,3456.86254882812,265.583343505859,238.805541992188,334.8603515625
