Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.17637E-11,0.000000001,0,0.989600438,0.004538578,0
3.07738E-11,0.000000004,0.000000001,0.989053093,0.004538578,0
5.82742E-11,0.000000015,0.000000002,0.987958402,0.004538578,0
5.96213E-11,0.000000027,0.000000002,0.986863711,0.004538578,0
6.84766E-11,0.000000104,0.000000002,0.980295567,0.004538578,0
9.02052E-11,0.000000258,0.000000003,0.969348659,0.004538578,0
1.79217E-10,0.000001004,0.000000006,0.938697318,0.004538578,0
3.75349E-10,0.000002521,0.000000013,0.906403941,0.004538578,0
9.57915E-9,0.000010778,0.000000328,0.883962781,0.004538578,0
1.32219E-8,0.000025702,0.000000453,0.876847291,0.004538578,0
1.73746E-8,0.000051716,0.000000595,0.868089765,0.004538578,0
2.20645E-8,0.000100782,0.000000756,0.85440613,0.004538578,0
3.73674E-8,0.00025369,0.000001281,0.827038862,0.004538578,0
1.14505E-7,0.000504699,0.000003924,0.805692392,0.004538578,0
5.93372E-7,0.001037069,0.000020333,0.799124247,0.016641452,0
7.09564E-7,0.00256487,0.000024315,0.787082649,0.016641452,0
7.17668E-7,0.005066186,0.000024593,0.767925561,0.016641452,0
7.27142E-7,0.010049361,0.000024917,0.73015873,0.016641452,0
7.74836E-7,0.02506495,0.000026552,0.62014231,0.018154312,0
1.04238E-6,0.050080126,0.000035719,0.464696223,0.02118003,0
2.97288E-6,0.100090572,0.000101865,0.295019157,0.031770045,0
1.78163E-5,0.201529734,0.00061016,0.215106732,0.093797277,0
2.91937E-5,0.301006196,0.000999415,0.192118227,0.101361573,0
4.03271E-5,0.400662814,0.00138003,0.176245211,0.110438729,0
5.49044E-5,0.504818347,0.001877939,0.163656267,0.122541604,0
6.59164E-5,0.602988008,0.002253744,0.154898741,0.128593041,0
7.47962E-5,0.702264842,0.002556577,0.147235906,0.133131619,0
8.10964E-5,0.756814425,0.002771325,0.143404488,0.136157337,0
8.67617E-5,0.806950763,0.002964353,0.140120416,0.140695915,0
9.91213E-5,0.907300943,0.003385208,0.134099617,0.142208775,0
1.14639E-4,1.004932086,0.003913095,0.129173508,0.149773071,0
1.26401E-4,1.101229943,0.004312866,0.124794745,0.149773071,0
1.34009E-4,1.20169092,0.004571252,0.120415982,0.15128593,0
1.49251E-4,1.306385975,0.005088528,0.116584565,0.157337368,0
1.62612E-4,1.402517247,0.005541537,0.113300493,0.157337368,0
1.80921E-4,1.506961742,0.006161623,0.11001642,0.157337368,0
2.25454E-4,1.762619497,0.007666662,0.103448276,0.172465961,0
2.82866E-4,2.002613072,0.009600259,0.098522167,0.189107413,0
3.14394E-4,2.25529036,0.010658867,0.093596059,0.19515885,0
3.53062E-4,2.513925905,0.011954157,0.089764641,0.201210287,0
3.80113E-4,2.76989697,0.012858298,0.085933224,0.204236006,0
4.03298E-4,3.00020009,0.013631903,0.082649152,0.207261725,0
4.34413E-4,3.264427978,0.014668191,0.079365079,0.211800303,0
4.82838E-4,3.542234083,0.016276675,0.076081007,0.222390318,0
5.07118E-4,3.779058828,0.017081176,0.07334428,0.225416036,0
5.57954E-4,4.008689734,0.018761347,0.071154899,0.234493192,0
6.00376E-4,4.257157803,0.020159048,0.068418172,0.242057489,0
6.2652E-4,4.54735905,0.021018435,0.06622879,0.245083207,0
6.62013E-4,4.810936277,0.022182755,0.064039409,0.252647504,0
6.91112E-4,5.01631436,0.023135225,0.062397373,0.255673222,0
7.55685E-4,5.312474065,0.025242259,0.060207991,0.26172466,0
7.64814E-4,5.540667002,0.025539424,0.058565955,0.263237519,0
7.92659E-4,5.77578026,0.02644465,0.056923919,0.269288956,0
8.32239E-4,6.02227629,0.027728505,0.055281883,0.275340393,0
9.28634E-4,6.28918233,0.030841154,0.053639847,0.276853253,0
9.63117E-4,6.573604693,0.031949788,0.051997811,0.278366112,0
9.75722E-4,6.768058113,0.0323544,0.05090312,0.281391831,0
1.01896E-3,7.042072616,0.033739872,0.049261084,0.287443268,0
1.06176E-3,7.278778902,0.035107246,0.048166393,0.288956127,0
1.14792E-3,7.506633715,0.037848301,0.047071702,0.296520424,0
1.15865E-3,7.769151062,0.038188691,0.045429666,0.298033283,0
1.23825E-3,8.084209802,0.04070531,0.044334975,0.307110439,0
1.27498E-3,8.283341951,0.041862105,0.043240285,0.308623298,0
1.35503E-3,8.623706621,0.044373925,0.042145594,0.313161876,0
