X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
95.382,25.264,train,0.0,0.0,0.0
95.365,25.222,train,0.0,0.0,0.0
95.443,25.327,train,Infinity,100.0,NaN
95.482,25.296,train,Infinity,100.0,NaN
95.5,25.29,train,Infinity,100.0,NaN
95.488,25.26,train,0.0,0.0,0.0
95.426,25.257,train,0.0,0.0,0.0
95.355,25.173,train,0.0,0.0,0.0
95.414,25.161,train,0.0,0.0,0.0
95.668,25.411,train,0.0,0.0,0.0
95.552,25.309,train,Infinity,100.0,NaN
95.542,25.314,train,Infinity,100.0,NaN
95.518,25.313,train,Infinity,100.0,NaN
95.507,25.304,train,Infinity,100.0,NaN
95.494,25.319,train,Infinity,100.0,NaN
95.484,25.327,train,Infinity,100.0,NaN
95.543,25.344,train,Infinity,100.0,NaN
95.548,25.369,train,Infinity,100.0,NaN
95.508,25.379,train,0.0,0.0,0.0
95.495,25.363,train,6.46444103930722E117,100.0,1.0
95.507,25.294,train,Infinity,100.0,NaN
95.482,25.297,train,Infinity,100.0,NaN
95.47,25.3,train,Infinity,100.0,NaN
95.445,25.275,train,Infinity,100.0,NaN
95.434,25.266,train,1.9779305486930773E260,100.0,1.0
95.69,25.492,train,Infinity,100.0,NaN
95.7,25.49,train,Infinity,100.0,NaN
95.656,25.513,train,Infinity,100.0,NaN
95.375,25.206,train,0.0,0.0,0.0
95.4,25.221,train,0.0,0.0,0.0
95.405,25.249,train,Infinity,100.0,NaN
95.445,25.283,train,Infinity,100.0,NaN
95.565,25.303,train,Infinity,100.0,NaN
95.659,25.3,train,0.0,0.0,0.0
95.491,25.321,train,Infinity,100.0,NaN
95.537,25.378,train,4.868994903964229E-118,4.868996454657165E-116,1.4381117013809823E-117
95.507,25.305,train,Infinity,100.0,NaN
95.505,25.303,train,Infinity,100.0,NaN
95.426,25.3,train,Infinity,100.0,NaN
95.551,25.353,train,Infinity,100.0,NaN
95.529,25.35,train,Infinity,100.0,NaN
95.46,25.291,train,Infinity,100.0,NaN
95.447,25.286,train,Infinity,100.0,NaN
95.445,25.274,train,2.5698627115575314E-103,2.5698635300155566E-101,7.590374829566051E-103
95.469,25.275,train,6.022742554905781E263,100.0,1.0
95.494,25.268,train,0.0,0.0,0.0
